family,size,rep,expected,nvars,nclauses,no_fusion_status,initial_common_classes,fusion_status,verified,method,emergent_common_classes,fusion_steps,fusion_depth,seconds
gate_hidden_2sat,32,0,SAT,94,188,UNKNOWN,[],SAT,True,MORPH-FUSION-2SAT,"[""bijunctive""]",91,89,0.024273485999856348
gate_hidden_2sat,32,0,UNSAT,94,188,UNKNOWN,[],UNSAT,True,MORPH-FUSION-2SAT,"[""bijunctive""]",92,88,0.024901923000015813
gate_hidden_2sat,32,1,SAT,94,188,UNKNOWN,[],SAT,True,MORPH-FUSION-2SAT,"[""bijunctive""]",91,89,0.02296427200008111
gate_hidden_2sat,32,1,UNSAT,94,188,UNKNOWN,[],UNSAT,True,MORPH-FUSION-2SAT,"[""bijunctive"", ""dual_horn"", ""horn""]",92,92,0.02295910399971035
gate_hidden_2sat,32,2,SAT,94,188,UNKNOWN,[],SAT,True,MORPH-FUSION-2SAT,"[""bijunctive""]",91,89,0.023396617000344122
gate_hidden_2sat,32,2,UNSAT,94,188,UNKNOWN,[],UNSAT,True,MORPH-FUSION-2SAT,"[""bijunctive"", ""dual_horn"", ""horn""]",92,92,0.023074386000189406
gate_hidden_2sat,128,0,SAT,382,764,UNKNOWN,[],SAT,True,MORPH-FUSION-2SAT,"[""bijunctive""]",379,377,0.23388220200013166
gate_hidden_2sat,128,0,UNSAT,382,764,UNKNOWN,[],UNSAT,True,MORPH-FUSION-2SAT,"[""bijunctive"", ""dual_horn"", ""horn""]",380,211,0.2307706040000994
gate_hidden_2sat,128,1,SAT,382,764,UNKNOWN,[],SAT,True,MORPH-FUSION-2SAT,"[""bijunctive""]",379,377,0.23608403700018243
gate_hidden_2sat,128,1,UNSAT,382,764,UNKNOWN,[],UNSAT,True,MORPH-FUSION-2SAT,"[""bijunctive"", ""dual_horn"", ""horn""]",380,201,0.24061589999973876
gate_hidden_2sat,128,2,SAT,382,764,UNKNOWN,[],SAT,True,MORPH-FUSION-2SAT,"[""bijunctive"", ""dual_horn"", ""horn"", ""zero_valid""]",379,377,0.23364287100002912
gate_hidden_2sat,128,2,UNSAT,382,764,UNKNOWN,[],UNSAT,True,MORPH-FUSION-DUAL-HORN,"[""dual_horn""]",377,247,0.3035946109998804
